Source,DOI,Authors,Year,Species,Life Stage,In Vitro or In Vivo?,Sex,Experiment Type,Exposure Route,Particle Mix?,Negative Control,Reference Particle,Exposure Media General,Exposure Media Specific,Exposure Media Additions,Solvent,Detergent,Temperature (Avg),Exposure Duration (days),Recovery (Days),Number of Doses,Replicates,Sample Size,Dosing Frequency,particles/mL (master),μg/mL (master),Effect,Broad Endpoint Category,Specific Endpoint Category,Endpoint,Level of Biological Organization,"Target Organelle, Cell, or Tissue",Polymer,Shape,Density (g/cm^3),"Density, reported or estimated",Charge,Zeta Potential (mV),Zeta Potential Media,Functional Group,Particle Length (μm),Size Category,Particle Volume (μm^3),Particle Mass (mg),Weathered or Biofouled?,Size Validated?,Polymer Validated?,Shape Validated,Particle Source,Sodium Azide Present?,Screened for Chemical Contamination?,Particle Cleaning?,Solvent Rinse,Background Contamination Monitored?,Concentration Validated?,Particle Behavior,Uptake Validated?,Organisms Fed?,Particle Red Criteria Pass,Design Red Criteria Pass,Risk Red Criteria Pass,Particle Size*,Particle Shape*,Polymer Type*,Particle Source*,Surface Chemistry,Chemical Purity,Microbial Contamination,Concentration Units,Particle Stability,Homogeneity of Exposure,Endpoints,Dose-Response*,Concentration Range,Effect Thresholds*,Test Particle Relevance,zeta_missing,zeta_imputed_by_group,zeta_imputed_by_global,charge_missing,in_vitro_flag,temp_missing,particles_ml_missing,ug_ml_missing,particle_size_missing,particle_volume_missing,particle_missing,particle_mass_imputed_by_group,particle_mass_imputed_by_global,density_reported_flag,density_estimated_flag,density_unknown_flag,particle_length_missing,sample_size_missing,sample_size_outlier,dose_mg_per_l,dose_mg_per_l_missing,particles_per_ml,particles_per_ml_missing,dose_info_available
search,10.1039/c9tx00147f,Amereh,2019,(Rat) Rattus norvegicus,Adult,In Vivo,M,Particle Only,Gavage,no,yes,no,water,distilled water,not_specified,not_reported,not_reported,22.0,35.0,0.0,4,1.0,6.0,7.0,,,No,Endocrine Signaling,Thyroid,Free T3/Free T4 Ratio,Subcell,serum,Polystyrene,Sphere,1.07,estimated,negative,-9.27,distilled.water,not_reported,0.03892,1nm < 100nm,3.09e-05,3.3e-14,no,Y,N,N,commercial,no,N,not_cleaned,none,N,N,not_evaluated,No,yes,Pass,Pass,Pass,2.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,0,0,0,0,False,1,1,1,0,0,0,0,0,0,1,0,0,0,0,,1,,1,0
search,10.1039/c9tx00147f,Amereh,2019,(Rat) Rattus norvegicus,Adult,In Vivo,M,Particle Only,Gavage,no,yes,no,water,distilled water,not_specified,not_reported,not_reported,22.0,35.0,0.0,4,1.0,6.0,7.0,,,Yes,Endocrine Signaling,Thyroid,Free T3/Free T4 Ratio,Subcell,serum,Polystyrene,Sphere,1.07,estimated,negative,-9.27,distilled.water,not_reported,0.03892,1nm < 100nm,3.09e-05,3.3e-14,no,Y,N,N,commercial,no,N,not_cleaned,none,N,N,not_evaluated,No,yes,Pass,Pass,Pass,2.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,0,0,0,0,False,1,1,1,0,0,0,0,0,0,1,0,0,0,0,,1,,1,0
search,10.1039/c9tx00147f,Amereh,2019,(Rat) Rattus norvegicus,Adult,In Vivo,M,Particle Only,Gavage,no,yes,no,water,distilled water,not_specified,not_reported,not_reported,22.0,35.0,0.0,4,1.0,6.0,7.0,,,No,Endocrine Signaling,Thyroid,TSH Concentration,Subcell,serum,Polystyrene,Sphere,1.07,estimated,negative,-9.27,distilled.water,not_reported,0.03892,1nm < 100nm,3.09e-05,3.3e-14,no,Y,N,N,commercial,no,N,not_cleaned,none,N,N,not_evaluated,No,yes,Pass,Pass,Pass,2.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,0,0,0,0,False,1,1,1,0,0,0,0,0,0,1,0,0,0,0,,1,,1,0
search,10.1039/c9tx00147f,Amereh,2019,(Rat) Rattus norvegicus,Adult,In Vivo,M,Particle Only,Gavage,no,yes,no,water,distilled water,not_specified,not_reported,not_reported,22.0,35.0,0.0,4,1.0,6.0,7.0,,,Yes,Endocrine Signaling,Thyroid,TSH Concentration,Subcell,serum,Polystyrene,Sphere,1.07,estimated,negative,-9.27,distilled.water,not_reported,0.03892,1nm < 100nm,3.09e-05,3.3e-14,no,Y,N,N,commercial,no,N,not_cleaned,none,N,N,not_evaluated,No,yes,Pass,Pass,Pass,2.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,0,0,0,0,False,1,1,1,0,0,0,0,0,0,1,0,0,0,0,,1,,1,0
search,10.1039/c9tx00147f,Amereh,2019,(Rat) Rattus norvegicus,Adult,In Vivo,M,Particle Only,Gavage,no,yes,no,water,distilled water,not_specified,not_reported,not_reported,22.0,35.0,0.0,4,1.0,6.0,7.0,,,Yes,Metabolism,Lipid Metabolism,Cholesterol Concentration,Subcell,serum,Polystyrene,Sphere,1.07,estimated,negative,-9.27,distilled.water,not_reported,0.03892,1nm < 100nm,3.09e-05,3.3e-14,no,Y,N,N,commercial,no,N,not_cleaned,none,N,N,not_evaluated,No,yes,Pass,Pass,Pass,2.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,0,0,0,0,False,1,1,1,0,0,0,0,0,0,1,0,0,0,0,,1,,1,0
search,10.1039/c9tx00147f,Amereh,2019,(Rat) Rattus norvegicus,Adult,In Vivo,M,Particle Only,Gavage,no,yes,no,water,distilled water,not_specified,not_reported,not_reported,22.0,35.0,0.0,4,1.0,6.0,7.0,,,No,Metabolism,Amino Acid Metabolism,Creatine Concentration,Subcell,serum,Polystyrene,Sphere,1.07,estimated,negative,-9.27,distilled.water,not_reported,0.03892,1nm < 100nm,3.09e-05,3.3e-14,no,Y,N,N,commercial,no,N,not_cleaned,none,N,N,not_evaluated,No,yes,Pass,Pass,Pass,2.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,0,0,0,0,False,1,1,1,0,0,0,0,0,0,1,0,0,0,0,,1,,1,0
search,10.1039/c9tx00147f,Amereh,2019,(Rat) Rattus norvegicus,Adult,In Vivo,M,Particle Only,Gavage,no,yes,no,water,distilled water,not_specified,not_reported,not_reported,22.0,35.0,0.0,4,1.0,6.0,7.0,,,No,Metabolism,Lipid Metabolism,HDL Concentration,Subcell,serum,Polystyrene,Sphere,1.07,estimated,negative,-9.27,distilled.water,not_reported,0.03892,1nm < 100nm,3.09e-05,3.3e-14,no,Y,N,N,commercial,no,N,not_cleaned,none,N,N,not_evaluated,No,yes,Pass,Pass,Pass,2.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,0,0,0,0,False,1,1,1,0,0,0,0,0,0,1,0,0,0,0,,1,,1,0
search,10.1039/c9tx00147f,Amereh,2019,(Rat) Rattus norvegicus,Adult,In Vivo,M,Particle Only,Gavage,no,yes,no,water,distilled water,not_specified,not_reported,not_reported,22.0,35.0,0.0,4,1.0,6.0,7.0,,,Yes,Metabolism,Lipid Metabolism,HDL Concentration,Subcell,serum,Polystyrene,Sphere,1.07,estimated,negative,-9.27,distilled.water,not_reported,0.03892,1nm < 100nm,3.09e-05,3.3e-14,no,Y,N,N,commercial,no,N,not_cleaned,none,N,N,not_evaluated,No,yes,Pass,Pass,Pass,2.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,0,0,0,0,False,1,1,1,0,0,0,0,0,0,1,0,0,0,0,,1,,1,0
search,10.1039/c9tx00147f,Amereh,2019,(Rat) Rattus norvegicus,Adult,In Vivo,M,Particle Only,Gavage,no,yes,no,water,distilled water,not_specified,not_reported,not_reported,22.0,35.0,0.0,4,1.0,6.0,7.0,,,No,Metabolism,Lipid Metabolism,Low Density Lipoprotein Concentration,Subcell,serum,Polystyrene,Sphere,1.07,estimated,negative,-9.27,distilled.water,not_reported,0.03892,1nm < 100nm,3.09e-05,3.3e-14,no,Y,N,N,commercial,no,N,not_cleaned,none,N,N,not_evaluated,No,yes,Pass,Pass,Pass,2.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,0,0,0,0,False,1,1,1,0,0,0,0,0,0,1,0,0,0,0,,1,,1,0
search,10.1039/c9tx00147f,Amereh,2019,(Rat) Rattus norvegicus,Adult,In Vivo,M,Particle Only,Gavage,no,yes,no,water,distilled water,not_specified,not_reported,not_reported,22.0,35.0,0.0,4,1.0,6.0,7.0,,,Yes,Metabolism,Lipid Metabolism,Low Density Lipoprotein Concentration,Subcell,serum,Polystyrene,Sphere,1.07,estimated,negative,-9.27,distilled.water,not_reported,0.03892,1nm < 100nm,3.09e-05,3.3e-14,no,Y,N,N,commercial,no,N,not_cleaned,none,N,N,not_evaluated,No,yes,Pass,Pass,Pass,2.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,0,0,0,0,False,1,1,1,0,0,0,0,0,0,1,0,0,0,0,,1,,1,0
search,10.1007/s12013-015-0705-6,Barshtein,2016,(Human) Homo sapiens,not_applicable,In Vitro,not_applicable,Particle Only,In Vitro,no,yes,no,pbs,pbs,not_specified,not_reported,not_reported,37.0,0.041666667,0.0,3,1.0,7.0,0.0,28413164323.64895,28413164.32364895,Yes,Circulatory,Cell Aggregation,Cell Aggregate Size,Cell,erythrocytes,Polystyrene,Sphere,1.07,estimated,unknown,-37.57,not_reported,not_reported,0.14645,100nm < 1µm,0.001644624,1.76e-12,no,N,N,N,commercial,unknown,N,not_cleaned,none,N,N,not_evaluated,No,not_applicable,Scoring Not Available,Scoring Not Available,Scoring Not Available,2.0,Sphere,unknown,unknown,unknown,unknown,unknown,unknown,0.0,unknown,,,,,-1.0,1,1,0,1,True,0,0,0,1,0,0,0,0,0,1,0,0,0,0,28413164.32364895,0,28413164323.64895,0,1
search,10.1007/s12013-015-0705-6,Barshtein,2016,(Human) Homo sapiens,not_applicable,In Vitro,not_applicable,Particle Only,In Vitro,no,yes,no,pbs,pbs,not_specified,not_reported,not_reported,37.0,0.041666667,0.0,3,1.0,7.0,0.0,113652657294.5958,113652657.2945958,Yes,Circulatory,Cell Aggregation,Cell Aggregation (Small),Cell,erythrocytes,Polystyrene,Sphere,1.07,estimated,unknown,-37.57,not_reported,not_reported,0.14645,100nm < 1µm,0.001644624,1.76e-12,no,N,N,N,commercial,unknown,N,not_cleaned,none,N,N,not_evaluated,No,not_applicable,Scoring Not Available,Scoring Not Available,Scoring Not Available,2.0,Sphere,unknown,unknown,unknown,unknown,unknown,unknown,0.0,unknown,,,,,-1.0,1,1,0,1,True,0,0,0,1,0,0,0,0,0,1,0,0,0,0,113652657.2945958,0,113652657294.5958,0,1
search,10.1007/s12013-015-0705-6,Barshtein,2016,(Human) Homo sapiens,not_applicable,In Vitro,not_applicable,Particle Only,In Vitro,no,yes,no,pbs,pbs,not_specified,not_reported,not_reported,37.0,0.041666667,0.0,3,1.0,7.0,0.0,284131643236.48944,284131643.2364894,Yes,Circulatory,Cell Aggregation,Cell Aggregation (Small),Cell,erythrocytes,Polystyrene,Sphere,1.07,estimated,unknown,-37.57,not_reported,not_reported,0.14645,100nm < 1µm,0.001644624,1.76e-12,no,N,N,N,commercial,unknown,N,not_cleaned,none,N,N,not_evaluated,No,not_applicable,Scoring Not Available,Scoring Not Available,Scoring Not Available,2.0,Sphere,unknown,unknown,unknown,unknown,unknown,unknown,0.0,unknown,,,,,-1.0,1,1,0,1,True,0,0,0,1,0,0,0,0,0,1,0,0,0,0,284131643.2364894,0,284131643236.48944,0,1
search,10.1007/s12013-015-0705-6,Barshtein,2016,(Human) Homo sapiens,not_applicable,In Vitro,not_applicable,Particle Only,In Vitro,no,yes,no,pbs,pbs,not_specified,not_reported,not_reported,37.0,0.041666667,0.0,3,1.0,7.0,0.0,28413164323.64895,28413164.32364895,Yes,Circulatory,Cell Aggregation,Cell Adhesion,Cell,erythrocytes,Polystyrene,Sphere,1.07,estimated,unknown,-37.57,not_reported,not_reported,0.14645,100nm < 1µm,0.001644624,1.76e-12,no,N,N,N,commercial,unknown,N,not_cleaned,none,N,N,not_evaluated,No,not_applicable,Scoring Not Available,Scoring Not Available,Scoring Not Available,2.0,Sphere,unknown,unknown,unknown,unknown,unknown,unknown,0.0,unknown,,,,,-1.0,1,1,0,1,True,0,0,0,1,0,0,0,0,0,1,0,0,0,0,28413164.32364895,0,28413164323.64895,0,1
search,10.1007/s12013-015-0705-6,Barshtein,2016,(Human) Homo sapiens,not_applicable,In Vitro,not_applicable,Particle Only,In Vitro,no,yes,no,pbs,pbs,not_specified,not_reported,not_reported,37.0,0.041666667,0.0,3,1.0,7.0,0.0,113652657294.5958,113652657.2945958,Yes,Circulatory,Cell Aggregation,Cell Adhesion,Cell,erythrocytes,Polystyrene,Sphere,1.07,estimated,unknown,-37.57,not_reported,not_reported,0.14645,100nm < 1µm,0.001644624,1.76e-12,no,N,N,N,commercial,unknown,N,not_cleaned,none,N,N,not_evaluated,No,not_applicable,Scoring Not Available,Scoring Not Available,Scoring Not Available,2.0,Sphere,unknown,unknown,unknown,unknown,unknown,unknown,0.0,unknown,,,,,-1.0,1,1,0,1,True,0,0,0,1,0,0,0,0,0,1,0,0,0,0,113652657.2945958,0,113652657294.5958,0,1
search,10.1007/s12013-015-0705-6,Barshtein,2016,(Human) Homo sapiens,not_applicable,In Vitro,not_applicable,Particle Only,In Vitro,no,yes,no,pbs,pbs,not_specified,not_reported,not_reported,37.0,0.041666667,0.0,3,1.0,7.0,0.0,284131643236.48944,284131643.2364894,Yes,Circulatory,Cell Aggregation,Cell Adhesion,Cell,erythrocytes,Polystyrene,Sphere,1.07,estimated,unknown,-37.57,not_reported,not_reported,0.14645,100nm < 1µm,0.001644624,1.76e-12,no,N,N,N,commercial,unknown,N,not_cleaned,none,N,N,not_evaluated,No,not_applicable,Scoring Not Available,Scoring Not Available,Scoring Not Available,2.0,Sphere,unknown,unknown,unknown,unknown,unknown,unknown,0.0,unknown,,,,,-1.0,1,1,0,1,True,0,0,0,1,0,0,0,0,0,1,0,0,0,0,284131643.2364894,0,284131643236.48944,0,1
search,10.1039/c9en00523d,Cortes,2020,(Human) Homo sapiens,not_applicable,In Vitro,not_applicable,Particle Only,In Vitro,no,yes,no,artificial_medium,DMEM,not_specified,not_reported,not_reported,37.0,2.0,0.0,4,1.0,9.0,0.0,190399552.2990623,190399.5522990623,No,Stress,DNA damage,Micronuclei Frequency,Subcell,caco2.cells,Polystyrene,Sphere,1.07,estimated,negative,-9.8,artificial.medium,not_reported,0.210855,100nm < 1µm,0.004908517,5.25e-12,no,Y,N,Y,commercial,yes,N,not_cleaned,none,N,N,not_evaluated,Yes,not_applicable,Scoring Not Available,Scoring Not Available,Scoring Not Available,2.0,Sphere,unknown,unknown,unknown,unknown,unknown,unknown,0.0,unknown,,,,,-1.0,0,0,0,0,True,0,0,0,1,0,0,0,0,0,1,0,0,0,0,190399.5522990623,0,190399552.2990623,0,1
search,10.1039/c9en00523d,Cortes,2020,(Human) Homo sapiens,not_applicable,In Vitro,not_applicable,Particle Only,In Vitro,no,yes,no,artificial_medium,DMEM,not_specified,not_reported,not_reported,37.0,2.0,0.0,4,1.0,9.0,0.0,4759988807.476558,4759988.807476558,No,Stress,DNA damage,Micronuclei Frequency,Subcell,caco2.cells,Polystyrene,Sphere,1.07,estimated,negative,-9.8,artificial.medium,not_reported,0.210855,100nm < 1µm,0.004908517,5.25e-12,no,Y,N,Y,commercial,yes,N,not_cleaned,none,N,N,not_evaluated,Yes,not_applicable,Scoring Not Available,Scoring Not Available,Scoring Not Available,2.0,Sphere,unknown,unknown,unknown,unknown,unknown,unknown,0.0,unknown,,,,,-1.0,0,0,0,0,True,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4759988.807476558,0,4759988807.476558,0,1
search,10.1039/c9en00523d,Cortes,2020,(Human) Homo sapiens,not_applicable,In Vitro,not_applicable,Particle Only,In Vitro,no,yes,no,artificial_medium,DMEM,not_specified,not_reported,not_reported,37.0,2.0,0.0,4,1.0,9.0,0.0,9519977614.953115,9519977.614953116,No,Stress,DNA damage,Micronuclei Frequency,Subcell,caco2.cells,Polystyrene,Sphere,1.07,estimated,negative,-9.8,artificial.medium,not_reported,0.210855,100nm < 1µm,0.004908517,5.25e-12,no,Y,N,Y,commercial,yes,N,not_cleaned,none,N,N,not_evaluated,Yes,not_applicable,Scoring Not Available,Scoring Not Available,Scoring Not Available,2.0,Sphere,unknown,unknown,unknown,unknown,unknown,unknown,0.0,unknown,,,,,-1.0,0,0,0,0,True,0,0,0,1,0,0,0,0,0,1,0,0,0,0,9519977.614953116,0,9519977614.953115,0,1
search,10.1039/c9en00523d,Cortes,2020,(Human) Homo sapiens,not_applicable,In Vitro,not_applicable,Particle Only,In Vitro,no,yes,no,artificial_medium,DMEM,not_specified,not_reported,not_reported,37.0,2.0,0.0,4,1.0,9.0,0.0,19039955229.90623,19039955.22990623,No,Stress,DNA damage,Micronuclei Frequency,Subcell,caco2.cells,Polystyrene,Sphere,1.07,estimated,negative,-9.8,artificial.medium,not_reported,0.210855,100nm < 1µm,0.004908517,5.25e-12,no,Y,N,Y,commercial,yes,N,not_cleaned,none,N,N,not_evaluated,Yes,not_applicable,Scoring Not Available,Scoring Not Available,Scoring Not Available,2.0,Sphere,unknown,unknown,unknown,unknown,unknown,unknown,0.0,unknown,,,,,-1.0,0,0,0,0,True,0,0,0,1,0,0,0,0,0,1,0,0,0,0,19039955.22990623,0,19039955229.90623,0,1
